project_id,project_name,project_type,budget_rs,duration_days,team_size,scope_changes,client_type,technology_stack,developer_experience_avg,agile_practice,client_rating,past_delays,actual_risk_level
1,Re-Intermediate 24/7 Experiences Platform,ERP,1433912,72,7,1,Local,Angular,3.9,Yes,5,3,Low
2,Facilitate Efficient Models Platform,Web,1285972,171,6,4,Local,Django,1.8,No,2,3,High
3,Engage Integrated Networks Platform,Desktop,554515,141,9,2,International,Angular,1.9,No,1,0,Medium
4,Redefine Efficient Technologies Platform,Web,3511337,236,12,2,Local,Spring Boot,2.8,Yes,4,0,High
5,Innovate Compelling Web Services Platform,Desktop,3533614,355,6,5,Local,React,3.6,No,1,1,Low
6,Incentivize Magnetic Users Platform,API,2831811,292,8,1,International,Vue,1.8,No,1,1,High
7,Aggregate Front-End Infrastructures Platform,ERP,2553622,143,10,3,International,Spring Boot,3.8,Yes,3,0,Low
8,Repurpose B2B Platforms Platform,Web,3146211,265,7,0,Local,Django,4.5,No,2,3,Medium
9,Re-Intermediate Compelling Vortals Platform,ERP,4349128,133,7,1,Local,Spring Boot,3.2,No,5,3,High
10,Reinvent Collaborative Applications Platform,API,3536646,172,5,4,International,React,4.0,Yes,2,1,High
11,Transform B2B Deliverables Platform,API,1032909,257,9,4,International,Django,2.0,Yes,1,2,High
12,Syndicate Distributed E-Markets Platform,Desktop,1435767,210,9,1,International,React,4.8,No,5,1,High
13,Repurpose Ubiquitous Web Services Platform,Web,3003536,319,12,1,Local,Vue,4.1,Yes,5,2,Medium
14,Target Interactive Architectures Platform,Web,1438414,245,7,1,Local,Angular,4.5,Yes,1,3,Low
15,Seize Transparent Web-Readiness Platform,ML,1554955,125,10,4,Local,Vue,3.1,No,2,1,High
16,Enhance Seamless Action-Items Platform,Desktop,3846989,251,10,4,International,React,2.0,Yes,3,0,High
17,Re-Intermediate Plug-And-Play Systems Platform,ML,2430342,172,3,0,Local,Angular,1.3,Yes,3,0,High
18,Disintermediate Plug-And-Play Paradigms Platform,Mobile,2836036,308,6,4,Local,Spring Boot,4.7,No,2,3,Medium
19,Syndicate User-Centric Communities Platform,Mobile,1291262,109,9,2,International,Laravel,2.9,Yes,1,0,Medium
20,Facilitate Mission-Critical Technologies Platform,ERP,3346276,115,6,1,Local,Django,2.8,No,2,2,Medium
21,Revolutionize Turn-Key Technologies Platform,Mobile,1132374,286,11,0,Local,Spring Boot,5.0,Yes,1,1,Low
